成员,时间,内容
Cheng,2025-12-06 21:04:32,真是神人老师
Cheng,2025-12-06 21:04:53,而且这么多不如直接摁着ppt背
Wang,2025-12-06 21:06:10,珠海
Wang,2025-12-06 21:06:25,朴正喜韩式炸鸡
Cheng,2025-12-06 21:07:35,这个心理怎么办
Cheng,2025-12-06 21:07:38,红温
Xian,2025-12-06 21:10:49,我已经摆了
Wang,2025-12-06 21:14:09,程哥已经复习得只剩下心理了
Wang,2025-12-06 21:14:12,巨
Bao,2025-12-06 21:14:44,原来真的只有我还没有开始复习呀
Cheng,2025-12-06 21:15:21,我真没开始
Cheng,2025-12-06 21:15:24,开始着急了
Bao,2025-12-06 21:18:02,安啦安啦
Wang,2025-12-06 21:19:28,祭了已经
Wang,2025-12-06 21:19:37,准备看飞往悉尼的机票了
Wang,2025-12-06 21:19:47,吗的悉尼还去不起
Wang,2025-12-06 21:19:51,看去奥克兰的机票了
Cheng,2025-12-06 21:21:36,王哥一起？
Bao,2025-12-06 21:21:47,一起
Cheng,2025-12-06 21:21:52,放羊的时候有个伴
Wang,2025-12-06 21:22:11,一起
Wang,2025-12-06 21:22:15,分工明确
Wang,2025-12-06 21:22:29,放羊挤羊奶打包上货架
Cheng,2025-12-06 21:23:47,我挤奶吧
Bao,2025-12-06 21:26:30,那就让我来负责售卖吧
Cheng,2025-12-06 21:46:43,@cpp糕手 来玩三国杀
Cheng,2025-12-06 21:47:01,@cpp糕手 我们的洛天依真是蒸蒸日上
Cheng,2025-12-06 21:47:11,都和三国杀联动了
Cheng,2025-12-06 21:47:16,[旺柴]
Bao,2025-12-06 21:47:33,党的好歌姬
Bao,2025-12-06 21:47:34,你以为
Cheng,2025-12-06 21:49:11,🤮
Cheng,2025-12-06 21:49:18,相似了
Bao,2025-12-06 21:49:29,？
Bao,2025-12-06 21:49:35,本来就是啊
Cheng,2025-12-06 21:50:19,复习心理相似
Cheng,2025-12-06 21:50:40,还是听听歌吧
Bao,2025-12-06 21:52:22,【百万级装备听《Luv (sic) Part. 1 - 3 》- Nujabes (feat Shing02)【Hi-Res】】 https://www.bilibili.com/video/BV1H14y1N7k3/?share_source=copy_web&vd_source=3fde7df6697a6f764505c32b8387d914
Bao,2025-12-06 21:52:25,好听
Wang,2025-12-06 21:55:30,程哥不要卷了
Wang,2025-12-06 21:55:36,程哥已经复习得只剩下心理了
Cheng,2025-12-06 21:56:04,https://space.bilibili.com/199363462/lists?sid=2209693&spm_id_from=333.788.0.0
Cheng,2025-12-06 21:56:11,好听
Cheng,2025-12-06 22:00:46,【【原创音乐】《失联星球》你曾是我日夜兼程的宇宙！【唐九夏】】 https://www.bilibili.com/video/BV1Q24y1d7mj/?share_source=copy_web&vd_source=9c19e8d6cf217fdddc6284e051a0cb76
Cheng,2025-12-06 22:05:05,【【吉诺儿kino】复古Disco原创曲《霓虹泡泡》官方MV】 https://www.bilibili.com/video/BV11f4y1M792/?share_source=copy_web&vd_source=9c19e8d6cf217fdddc6284e051a0cb76
Cheng,2025-12-06 22:05:14,@小七 你知道这个皮套吗？
Cheng,2025-12-06 22:10:27,【神中神！《我在人民广场吃炸鸡》 赵大格版【吉诺儿kino】】 https://www.bilibili.com/video/BV1dT411E7Zw/?share_source=copy_web&vd_source=9c19e8d6cf217fdddc6284e051a0cb76
Cheng,2025-12-06 22:14:36,【周菲戈 中国好声音-《拆穿》好声音现象级现场，打脸jmz】 https://www.bilibili.com/video/BV1YV4y157dN/?share_source=copy_web&vd_source=9c19e8d6cf217fdddc6284e051a0cb76
Cheng,2025-12-06 22:27:43,还有两天
Cheng,2025-12-06 22:27:52,真有点复习不完了
Wang,2025-12-06 22:33:35,别复习了程哥
Wang,2025-12-06 22:33:41,跟我一起看库里之歌吧
Cheng,2025-12-06 22:34:28,我他妈师真在听
Sev,2025-12-07 19:08:57,现实就给了当头一棒
Bao,2025-12-07 19:09:12,崔师吗这是
Sev,2025-12-07 19:09:14,这一科如何提高到3.7GPA
Sev,2025-12-07 19:09:16,不是
Sev,2025-12-07 19:09:18,是老太
Bao,2025-12-07 19:09:23,澳
Bao,2025-12-07 19:09:29,我舍友跟我抱怨崔师了
Bao,2025-12-07 19:09:37,说他们班平均分只有59分
Sev,2025-12-07 19:10:10,英语
Sev,2025-12-07 19:10:26,期中考试听力设备问题，甚至都全部听力满分了
Sev,2025-12-07 19:10:29,还是没办法
Xian,2025-12-07 19:11:30,嗦嘎嗦嘎
Cheng,2025-12-07 19:11:43,不会是con老师吧？
Cheng,2025-12-07 19:11:47,咱科学传播的
Morty,2025-12-07 19:12:39,那是von师
Cheng,2025-12-07 19:12:58,？
Sev,2025-12-07 19:13:05,英语没招了，我要努力复习OS了，这是最后的希望
Cheng,2025-12-07 19:13:27,学弟期望多少？这学期
Sev,2025-12-07 19:13:45,其他老师都没法成绩，我不知道目前多少
Sev,2025-12-07 19:14:03,本来想考3.5的
Sev,2025-12-07 19:14:05,但是
Sev,2025-12-07 19:14:18,想想就好了
Cheng,2025-12-07 19:15:22,我也是
Morty,2025-12-07 19:15:36,pm该如何复习
Morty,2025-12-07 19:15:39,我感觉我好失败啊
Sev,2025-12-07 19:15:46,把OS冲到4.0，这学期还有救
Gao,2025-12-07 19:16:01,PM是↑↓
Gao,2025-12-07 19:16:58,PM好多和我们risk management重的点
Cheng,2025-12-07 19:19:41,头有点晕了
Evelyn,2025-12-07 19:20:30,要是真的重合，我就不至于答司徒的risk的scope的component在Andrew卷子上，然后被扣3.5了
Cheng,2025-12-07 19:20:42,巨
Cheng,2025-12-07 19:20:50,96.5分大神
Evelyn,2025-12-07 19:21:00,？
Gao,2025-12-07 19:21:11,是不是重合吧
Evelyn,2025-12-07 19:21:56,你要是复习的那么快
Evelyn,2025-12-07 19:22:01,我就要来压力你了
Evelyn,2025-12-07 19:22:03,嘻嘻
Gao,2025-12-07 19:22:17,我只是把他划的所有题丢进一个word罢了
Cheng,2025-12-07 19:24:59,平心而论，不管是学业水平还是人情人脉，崔神都超过鲍神了，依我看，群主之位改易主了
Gao,2025-12-07 19:27:20,天哪
Gao,2025-12-07 19:27:26,是终极卷王
Gao,2025-12-07 19:27:28,崔女士
Evelyn,2025-12-07 19:28:32,我怎么敢的
Bao,2025-12-07 19:28:32,99w匹卷力!
Bao,2025-12-07 19:28:38,是终极卷王！
Cheng,2025-12-07 19:30:18,谁家中二病？
Bao,2025-12-07 19:31:06,中二病少年也想谈恋爱
Bao,2025-12-07 19:31:18,中二病少年不想去澳洲！
Cheng,2025-12-07 19:31:39,爆裂吧现实，粉碎吧精神，放逐这个世界
Gao,2025-12-07 19:31:44,中二病少年正在浪费他的人生
Gao,2025-12-07 19:31:49,于是人生死了
Gao,2025-12-07 19:31:59,世界毁灭吧
Bao,2025-12-07 19:32:45,爆裂吧试卷，粉碎吧内卷，放逐这些GPA
Bao,2025-12-07 19:32:54,我的世界我做主
Bao,2025-12-07 19:33:01,这种内卷的人生我受够了
Gao,2025-12-07 19:33:06,嘛的法克儿
Bao,2025-12-07 19:33:22,其实我真的不是中二病（
Cheng,2025-12-07 19:34:20,其实我是二次元男主
Cheng,2025-12-07 19:34:27,你们可能不知道
Cheng,2025-12-07 19:35:02,唉一个比一个说的狠，结果最后一看，我才是被你们哄骗不搞学习的那个
Bao,2025-12-07 19:35:12,随意吧
Gao,2025-12-07 19:35:13,少废话
Bao,2025-12-07 19:35:18,哥要追随风的步伐了
Gao,2025-12-07 19:35:19,一个两个GPA都比我高
Bao,2025-12-07 19:35:29,凡人怎么会懂我的忧郁
Gao,2025-12-07 19:35:33,我需要闻一些味道让我保持清醒
Xian,2025-12-07 19:36:01,有趣的男人，你引起了我的注意力
Bao,2025-12-07 19:36:37,迷上哥了吗，哼，不要陷得太深哦
Bao,2025-12-07 19:36:42,那我会很困扰的
Bao,2025-12-07 19:36:55,伤害男孩的事情我下不了手
Bao,2025-12-07 19:38:07,如此狂热
Bao,2025-12-07 19:38:13,多么炙热的感情
Gao,2025-12-07 19:38:24,吓人
Bao,2025-12-07 19:39:46,啧，今天又散发太多魅力了吗
Cheng,2025-12-07 19:40:13,你们=马上要触发我的特殊cg了
Bao,2025-12-07 19:40:18,唉，这就是我——一个大帅逼的大学日常生活
Gao,2025-12-07 19:44:31,-
Gao,2025-12-07 19:44:31,-
Gao,2025-12-07 19:44:32,-
Gao,2025-12-07 19:44:32,-
Gao,2025-12-07 19:44:33,-
Gao,2025-12-07 19:44:33,-
Gao,2025-12-07 19:44:33,-
Gao,2025-12-07 19:44:36,再见了
Gao,2025-12-07 19:44:44,马上刀了你俩
Bao,2025-12-07 19:45:06,是我太冷落你了吗，高
Cheng,2025-12-07 19:45:08,和我文爱
Cheng,2025-12-07 19:45:19,现在是大文爱时代
Cheng,2025-12-07 19:45:36,@话痨用户 是嫉妒了吗？高-先-生~
Wang,2025-12-07 19:46:14,我说实话
Gao,2025-12-07 19:46:15,你听说过伊藤诚吗@复制粘贴吧黄牌
Wang,2025-12-07 19:46:27,卷绩让我们变得丑陋，面目全非
Wang,2025-12-07 19:46:34,我的建议不如大家都不卷了
Wang,2025-12-07 19:46:39,我们一起去放羊
Cheng,2025-12-07 19:47:20,现在的小娃娃们哟，优绩主意是要不得滴
Bao,2025-12-07 19:47:55,我手中40m的专杀卷王大刀不由得饥渴了起来
Gao,2025-12-07 19:48:16,可恶
Wang,2025-12-07 19:48:23,让崔姐感到害怕
Wang,2025-12-07 19:48:31,她昨天学了一天把我气到了
Wang,2025-12-07 19:48:34,我只能学习甘地
Wang,2025-12-07 19:48:40,吃了一顿好的来表达我的不满
Wang,2025-12-07 19:48:44,这叫非暴力不合作
Bao,2025-12-07 19:49:14,这个群里怎么有中二病啊
Bao,2025-12-07 19:49:15,这谁啊
Cheng,2025-12-07 19:49:25,甘地不是还有禁欲大挑战吗？
Cheng,2025-12-07 19:49:32,你怎么不模仿一下？
Bao,2025-12-07 19:54:32,我是主角
Bao,2025-12-07 19:54:37,应该给我4.0
Wang,2025-12-07 19:55:41,话说回来
Wang,2025-12-07 19:55:49,还有三天就要考了
Wang,2025-12-07 19:55:55,我现在都不知道HCI期中考得怎么样
Bao,2025-12-07 19:56:03,这不重要
Morty,2025-12-07 19:56:04,错误的，只有两天了
Wang,2025-12-07 19:58:10,三天考HCI
Wang,2025-12-07 19:58:13,两天考PM
Cheng,2025-12-07 19:58:23,艾特一下不说话的
Cheng,2025-12-07 19:58:30,可能在卷
Wang,2025-12-07 19:58:37,是包在卷
Cheng,2025-12-07 19:58:37,[旺柴]
Morty,2025-12-07 19:58:42,pm最后25%的内容应该复习哪里
Morty,2025-12-07 19:58:46,可否为我指点迷津
Bao,2025-12-07 19:59:16,少来探究我！
Cheng,2025-12-07 19:59:30,神人‘
Bao,2025-12-07 19:59:35,不觉得很帅吗
Cheng,2025-12-07 19:59:47,谁家霸王龙
Bao,2025-12-07 19:59:51,绫小路一看就是抄袭我的人设
Morty,2025-12-07 20:00:05,为何无人理我
Morty,2025-12-07 20:00:09,哎，疏远
Morty,2025-12-07 20:00:12,哎，切割
Cheng,2025-12-07 20:01:17,想想他妈妈是什么成分？
Cheng,2025-12-07 20:01:51,为何无人理我
Cheng,2025-12-07 20:01:51,哎，疏远
Cheng,2025-12-07 20:01:51,哎，切割
Cheng,2025-12-07 20:01:52,理你一下喽
Bao,2025-12-07 20:01:55,他妈妈是什么
Cheng,2025-12-07 20:02:36,娼妓好像我记得
Cheng,2025-12-07 20:02:53,然后有个相好的
Cheng,2025-12-07 20:03:28,路的爸爸就拿下路妈给路用路妈相好的名字取的名
Cheng,2025-12-07 20:03:36,很恶趣味
Bao,2025-12-07 20:03:55,你好会吃屎
Cheng,2025-12-07 20:04:38,那咋了？
Cheng,2025-12-07 20:04:56,你可是把year1都看完的男人】
Gao,2025-12-07 20:05:31,太吓人了
Wang,2025-12-07 20:06:12,我有year1全套台版
Wang,2025-12-07 20:06:19,year2半套
Cheng,2025-12-07 20:06:58,二味太大了，能不能滚啊
Wang,2025-12-07 20:08:51,米娜桑，真昼真的可爱捏😋
Cheng,2025-12-07 20:09:05,@小七 拔刀了学弟
Bao,2025-12-07 20:09:30,不好这口
Sev,2025-12-07 20:09:36,拔刀了
Cheng,2025-12-07 20:10:29,你的xp有问题
Wang,2025-12-07 20:11:02,我们这种都要看纯爱
Gao,2025-12-07 20:11:18,🥹
Bao,2025-12-07 20:11:46,萝莉控
Bao,2025-12-07 20:11:48,闹麻了
Bao,2025-12-07 20:11:50,全斩了
Wang,2025-12-07 20:12:22,程喜欢看龙王的工作
Wang,2025-12-07 20:12:33,我从来不看天使降临到我身边
Cheng,2025-12-07 20:12:38,喜欢下棋而已啊
Cheng,2025-12-07 20:12:41,别带
Wang,2025-12-07 20:13:16,但是小林家的龙女仆我喜欢看
Wang,2025-12-07 20:13:24,我喜欢康娜酱
Cheng,2025-12-07 20:14:26,@ 最尊敬的王哥  喷不了，这个是真喜欢萝莉
Bao,2025-12-07 20:15:03,恶心
Cheng,2025-12-07 20:15:15,@Efímero 说你呢
Wang,2025-12-07 20:15:43,？
Wang,2025-12-07 20:15:53,鲍不懂
Bao,2025-12-07 20:25:53,呵
Bao,2025-12-07 20:25:56,凡人
Cheng,2025-12-07 20:33:16,相似了
Cheng,2025-12-07 20:51:24,很好奇你们复习到哪里了？
Xian,2025-12-07 20:57:12,一点没动
Bao,2025-12-07 20:59:19,一点没动
Cheng,2025-12-07 21:00:00,你们都演我啊
Xian,2025-12-07 21:01:44,看的喷
Cheng,2025-12-07 21:02:33,呵呵
Bao,2025-12-07 21:04:08,一个个都很有问题啊
Evelyn,2025-12-07 21:04:17,卷死我了你们
Wang,2025-12-07 21:06:20,崔姐终于出来说话了
Wang,2025-12-07 21:06:25,应该是完整阶段性复习了
Evelyn,2025-12-07 21:08:29,对不起，没忍住
Cheng,2025-12-07 21:08:30,卧槽
Cheng,2025-12-07 21:08:37,过分了啊
Evelyn,2025-12-07 21:08:51,明天图书馆关门的
Gao,2025-12-07 21:08:57,不是很想和你们这群卷王聊天
Xian,2025-12-07 21:08:59,我还没吃晚饭还没回宿舍我不得劲啊
Gao,2025-12-07 21:09:01,一个个都装嫩
Evelyn,2025-12-07 21:09:05,不是很想和你们这群卷王聊天
Evelyn,2025-12-07 21:09:09,一个个都装嫩
Xian,2025-12-07 21:09:09,不是很想和你们这群卷王聊天
Xian,2025-12-07 21:09:13,一个个都装嫩
Cheng,2025-12-07 21:09:59,不是很想和你们这群卷王聊天
Cheng,2025-12-07 21:09:59,一个个都装嫩
Gao,2025-12-07 21:10:01,崔女士你说这话你有没有考虑过自己的形象
Cheng,2025-12-07 21:12:48,现在崔神可以作证我一点都没学了
Bao,2025-12-07 21:14:11,约图是什么
Cheng,2025-12-07 21:14:25,找她给我拍照
Bao,2025-12-07 21:14:37,你要女装了？
Cheng,2025-12-07 21:14:41,约图+返图（bushi）
Wang,2025-12-07 21:14:46,心理没开始
Wang,2025-12-07 21:14:47,完了捏
Xian,2025-12-07 21:14:50,找她去图书馆
Evelyn,2025-12-07 21:14:57,对，他是coser来着
Cheng,2025-12-07 21:15:00,我pm，hci，web都没有
Xian,2025-12-07 21:15:01,绷不住了
Cheng,2025-12-07 21:15:04,开始
Wang,2025-12-07 21:15:32,崔姐
Wang,2025-12-07 21:15:36,你能教我怎么考95吗
Evelyn,2025-12-07 21:15:36,怒背4小时不吃饭
Cheng,2025-12-07 21:15:56,刚吃了一盒寿司
Cheng,2025-12-07 21:15:57,爽
Cheng,2025-12-07 21:16:08,很吆西
Bao,2025-12-07 21:17:04,完全跟不上你们的节奏
Bao,2025-12-07 21:17:09,我显得是那么得格格不入
Wu,2025-12-07 21:17:25,怎么那么卷啊
Bao,2025-12-07 21:19:16,哇哦，我第二次HCI作业就68分
Evelyn,2025-12-07 21:19:36,哪里有成绩
Evelyn,2025-12-07 21:20:26,死老头
Evelyn,2025-12-07 21:20:35,assignment2到底谁在拿高分
Wu,2025-12-07 21:20:41,我要怎么算我考多少及格
Evelyn,2025-12-07 21:20:45,这文件哪来的
Wang,2025-12-07 21:20:49,崔姐太权威了
Bao,2025-12-07 21:20:50,canvas上面
Wang,2025-12-07 21:20:50,91
Cheng,2025-12-07 21:21:05,这俩作业很傻逼啊
Evelyn,2025-12-07 21:21:06,公示啥呢[憨笑][憨笑]
Evelyn,2025-12-07 21:21:12,傻逼得很
Bao,2025-12-07 21:21:38,太有实力了
Bao,2025-12-07 21:21:54,看上去3.3还是很有希望的
Evelyn,2025-12-07 21:22:00,想挂我们可以直说
Bao,2025-12-07 21:22:29,PM，心理冲击3.3
Cheng,2025-12-07 21:22:40,3.3
Cheng,2025-12-07 21:22:48,我要拿3个3.3了
Cheng,2025-12-07 21:22:49,妈的
Wang,2025-12-07 21:23:03,笑死我了
Wang,2025-12-07 21:23:16,一看第二个作业79分
Wang,2025-12-07 21:23:20,结果班级最高分才82
Wang,2025-12-07 21:23:26,那很会改分了
Xian,2025-12-07 21:23:51,91王哥
Bao,2025-12-07 21:23:58,91王先生
Xian,2025-12-07 21:23:59,王哥你怎么还有兼职啊
Xian,2025-12-07 21:24:03,91王先生
Gao,2025-12-07 21:24:20,太伤心了
Gao,2025-12-07 21:24:42,变成狼人模样
Gao,2025-12-07 21:24:45,染上了疯狂
Cheng,2025-12-07 21:24:57,here we go
Bao,2025-12-07 21:25:03,33个人，只有6个人到83分
Bao,2025-12-07 21:25:25,算上期末，也就是这门课能到3.3的一只手
Cheng,2025-12-07 21:25:46,here we go
Cheng,2025-12-07 21:25:53,3.3 we go
Bao,2025-12-07 21:26:14,昂
Wang,2025-12-07 21:26:27,那我82.2算什么
Bao,2025-12-07 21:26:35,算3.0
Cheng,2025-12-07 21:26:45,乐
Cheng,2025-12-07 21:27:11,每当月光照到文档脸上
Cheng,2025-12-07 21:27:20,我想我就要变了模样
Cheng,2025-12-07 21:27:30,有一种名叫撕心裂肺的汤
Bao,2025-12-07 21:27:34,按照他这么给分
Cheng,2025-12-07 21:27:39,喝了它有神奇的力量
Bao,2025-12-07 21:27:52,理工均绩有个3.3算很不错了
Gao,2025-12-07 21:27:54,这作业2
Cheng,2025-12-07 21:27:55,闭上眼
Gao,2025-12-07 21:27:56,居然
Wang,2025-12-07 21:27:57,他那个final是个什么玩意
Gao,2025-12-07 21:27:57,特码的
Cheng,2025-12-07 21:27:59,我看见天堂
Gao,2025-12-07 21:28:00,就俩人82
Gao,2025-12-07 21:28:02,一个80
Bao,2025-12-07 21:28:04,得前15%
Wang,2025-12-07 21:28:07,这一栏是什么
Cheng,2025-12-07 21:28:08,那是藏着你笑的地方
Bao,2025-12-07 21:28:09,甚至10%
Gao,2025-12-07 21:28:09,这作业2满分是什么样的
Gao,2025-12-07 21:28:23,少一个期末没加
Cheng,2025-12-07 21:28:41,我躲开无数只猎人的枪
Cheng,2025-12-07 21:28:51,赶走坟墓爬出的忧伤
Wang,2025-12-07 21:28:55,期末是加成绩*40%？
Bao,2025-12-07 21:28:59,50%
Sev,2025-12-07 21:29:01,期末算分是向上取整还是四舍五入？
Wang,2025-12-07 21:29:05,笑死
Bao,2025-12-07 21:29:07,不透露
Wang,2025-12-07 21:29:07,50%
Gao,2025-12-07 21:29:14,老头儿给我们的示例答案才特么70分
Gao,2025-12-07 21:29:23,这东西到底是谁能拿90
Bao,2025-12-07 21:29:25,我们这群里不会已经是理工电脑前几名了吧
Wang,2025-12-07 21:29:58,看见他第二个作业那一栏
Wang,2025-12-07 21:30:00,我真的蚌埠住了
Bao,2025-12-07 21:30:34,报读理工
Bao,2025-12-07 21:30:38,迈向成功
Wang,2025-12-07 21:31:11,好了啦
Wang,2025-12-07 21:31:17,知道要送我们都去澳洲了
Bao,2025-12-07 21:31:19,四大金刚：PM，HCI，心理，司徒
Gao,2025-12-07 21:31:23,好了现在完蛋菜了
Gao,2025-12-07 21:31:39,司徒的作业和他比人类多了吧
Bao,2025-12-07 21:31:56,相当人类了
Bao,2025-12-07 21:31:59,错怪他了
Gao,2025-12-07 21:32:09,HCI这位老头儿给我们的作业
Gao,2025-12-07 21:32:18,示例答案70分才
Bao,2025-12-07 21:32:34,我还没示例高
Gao,2025-12-07 21:32:37,课上基本上就说要干啥也不说什么样给分高
Gao,2025-12-07 21:32:51,完了也不讲作业
Gao,2025-12-07 21:33:00,OMG
Gao,2025-12-07 21:33:52,@cpp糕手 PM小组作业成绩有了没
Gao,2025-12-07 21:33:55,我有点害怕了
Wang,2025-12-07 21:34:06,已经开始了解比复旦高5名的世界名校悉尼大学了
Cheng,2025-12-07 21:34:17,王哥，我们手牵手
Gao,2025-12-07 21:34:17,一半是如果我玩砸了你们会不会因为GPA爆炸轮番🔪我
Gao,2025-12-07 21:34:23,一半是没底
Bao,2025-12-07 21:34:39,无
Bao,2025-12-07 21:34:47,交给你了
Bao,2025-12-07 21:34:53,怎么可能轰炸你
Cheng,2025-12-07 21:35:11,集美的情谊比天还高比地还辽阔
Cheng,2025-12-07 21:35:11,那些岁月我们一定会记得
Cheng,2025-12-07 21:35:12,集美的情谊比天还高比地还辽阔↗
Cheng,2025-12-07 21:35:12,像一杯酒，像一首老歌
Cheng,2025-12-07 21:35:12,在你寂寞孤单的时候
Cheng,2025-12-07 21:35:12,请你听我唱首歌
Cheng,2025-12-07 21:35:12,我的好集美
Cheng,2025-12-07 21:35:12,心里有苦你听我说
Wang,2025-12-07 21:35:47,简直是完了个大蛋
Bao,2025-12-07 21:36:18,你这不是浪费钱签约了吗
Bao,2025-12-07 21:36:23,澳洲不收费的
Cheng,2025-12-07 21:36:35,王哥退钱吧
Wang,2025-12-07 21:36:38,被理工摆了一道
Cheng,2025-12-07 21:36:42,你这情况出身的
Cheng,2025-12-07 21:36:48,机构也帮不了了
Bao,2025-12-09 22:37:03,这下稳了
Cheng,2025-12-09 22:38:00,我是崔崔派
Evelyn,2025-12-09 22:38:21,崔崔到现在都没想明白，为什么你们PM能写满
Bao,2025-12-09 22:38:54,就嗯写
Bao,2025-12-09 22:39:00,水字数罢了
Evelyn,2025-12-09 22:54:55,@复制粘贴吧黄牌 现在澳签好难下了
Bao,2025-12-09 22:56:59,澳签好难下了？
Bao,2025-12-09 22:57:02,为什么突然说这个
Wang,2025-12-09 22:57:30,崔姐被拒了吗
Evelyn,2025-12-09 22:57:37,因为我签证卡了一个半月没下来
Wang,2025-12-09 22:57:49,澳洲现在不是把中国列到第二级了吗
Wang,2025-12-09 22:57:53,很容易被卡
